iter	Passed	Remaining
984	68293	1039
985	68338	970
986	68387	900
987	68436	831
988	68483	761
989	68526	692
990	68567	622
991	68612	553
992	68656	483
993	68705	414
994	68744	345
995	68788	276
996	68829	207
997	68867	138
998	68910	68
999	68950	0
